option	alpha	beta	num_valid_clusters	largest_cluster	num_edges_in_clustergraph	num_clusters	go_enrichment	adhd_genes	adhd_enriched_genes	autism_genes	autism_enriched_genes	bipolar_genes	bipolar_enriched_genes	mdd_genes	mdd_enriched_genes	schizophrenia_genes	schizophrenia_enriched_genes	gd_mean	gd_min	gd_25%	gd_75%	gd_max	md_mean	md_min	md_25%	md_75%	md_max
2	0.21	0.67	93	647	230726	93.0	61.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	5.0	19.0	1.0	2.0	13.0	77.0	37.4468085106383	3.0	8.0	33.75	438.0
2	0.21	0.68	109	661	233573	109.0	62.0	14.0	5.0	12.0	5.0	1.0	0.0	3.0	0.0	16.0	9.0	14.375	1.0	1.0	6.25	93.0	39.03636363636364	3.0	9.0	40.0	429.0
2	0.21	0.69	109	573	181549	109.0	64.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	4.0	14.75	1.0	1.0	6.25	96.0	38.35454545454545	3.0	8.0	32.75	416.0
2	0.21	0.7	122	582	183810	122.0	65.0	14.0	5.0	12.0	8.0	1.0	0.0	3.0	0.0	16.0	7.0	17.857142857142858	1.0	1.0	7.5	106.0	33.97560975609756	3.0	8.0	35.0	407.0
2	0.21	0.71	117	499	139833	117.0	67.0	14.0	5.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	6.0	14.625	1.0	1.0	2.5	104.0	30.559322033898304	1.0	8.0	32.0	442.0
2	0.21	0.72	110	448	119038	110.0	64.0	14.0	5.0	12.0	3.0	1.0	0.0	3.0	2.0	16.0	7.0	18.5	1.0	1.0	4.25	101.0	28.54054054054054	3.0	7.0	24.0	470.0
2	0.21	0.73	120	421	107648	120.0	61.0	14.0	3.0	12.0	0.0	1.0	0.0	3.0	2.0	16.0	8.0	24.0	1.0	1.0	5.0	112.0	28.75206611570248	3.0	7.0	30.0	483.0
2	0.21	0.74	126	260	55960	126.0	65.0	14.0	5.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	9.0	31.5	1.0	1.0	31.5	123.0	18.96062992125984	3.0	7.0	15.0	508.0
2	0.22	0.65	83	768	304106	83.0	63.0	14.0	2.0	12.0	5.0	1.0	0.0	3.0	0.0	16.0	6.0	14.166666666666666	1.0	1.0	10.25	67.0	44.23809523809524	3.0	11.0	40.25	524.0
2	0.22	0.66	78	746	295230	78.0	67.0	14.0	2.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	8.0	13.0	1.0	1.0	8.75	62.0	42.78481012658228	3.0	10.0	36.5	551.0
