option	alpha	beta	num_valid_clusters	largest_cluster	num_edges_in_clustergraph	num_clusters	go_enrichment	adhd_genes	adhd_enriched_genes	autism_genes	autism_enriched_genes	bipolar_genes	bipolar_enriched_genes	mdd_genes	mdd_enriched_genes	schizophrenia_genes	schizophrenia_enriched_genes	gd_mean	gd_min	gd_25%	gd_50%	gd_75%	gd_max	md_mean	md_min	md_25%	md_50%	md_75%	md_max
2	0.03	0.46	192.0	1125.0	669934.0	192.0	44.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	8.0	5.1	1.0	1.0	1.0	3.25	59.0	16.598958333333332	1.0	2.0	3.0	4.0	584.0
2	0.03	0.47	211.0	1219.0	742661.0	211.0	43.0	14.0	5.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	2.0	5.255813953488372	1.0	1.0	1.0	3.0	62.0	12.928909952606634	1.0	2.0	3.0	5.0	571.0
2	0.03	0.48	230.0	1114.0	663141.0	230.0	48.0	14.0	5.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	8.0	4.959183673469388	1.0	1.0	1.0	2.0	74.0	13.395652173913044	1.0	2.0	3.0	6.0	616.0
2	0.03	0.49	234.0	1203.0	723586.0	234.0	58.0	14.0	5.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	2.0	5.020408163265306	1.0	1.0	1.0	1.0	72.0	13.427350427350428	1.0	2.0	3.0	7.0	613.0
2	0.04	0.3	5.0	1246.0	781074.0	5.0	1.0	14.0	8.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	1.25	1.0	1.0	1.0	1.25	2.0	282.4	115.0	166.0	198.0	413.0	520.0
2	0.04	0.31	5.0	1246.0	781074.0	5.0	1.0	14.0	8.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	1.25	1.0	1.0	1.0	1.25	2.0	282.4	115.0	166.0	198.0	413.0	520.0
2	0.04	0.32	5.0	1246.0	781074.0	5.0	1.0	14.0	8.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	1.25	1.0	1.0	1.0	1.25	2.0	282.4	115.0	166.0	198.0	413.0	520.0
2	0.04	0.33	5.0	1246.0	781074.0	5.0	1.0	14.0	8.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	1.25	1.0	1.0	1.0	1.25	2.0	282.4	115.0	166.0	198.0	413.0	520.0
2	0.04	0.34	51.0	1265.0	799507.0	51.0	5.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	5.666666666666667	1.0	1.0	4.0	9.0	17.0	27.980392156862745	2.0	2.0	2.0	2.0	520.0
2	0.04	0.35	51.0	1265.0	799507.0	51.0	5.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	5.666666666666667	1.0	1.0	4.0	9.0	17.0	27.980392156862745	2.0	2.0	2.0	2.0	520.0
2	0.04	0.36	52.0	1220.0	751231.0	52.0	5.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	5.5	1.0	1.0	3.0	8.0	19.0	31.21153846153846	2.0	2.0	2.0	2.0	520.0
2	0.04	0.37	54.0	1218.0	750634.0	54.0	5.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	5.363636363636363	1.0	1.0	2.0	8.5	19.0	30.85185185185185	2.0	2.0	2.0	2.0	520.0
2	0.04	0.38	54.0	1220.0	751578.0	54.0	5.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	5.090909090909091	1.0	1.0	2.0	7.0	19.0	32.7962962962963	2.0	2.0	2.0	2.0	517.0
2	0.04	0.39	53.0	1220.0	753248.0	53.0	9.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	5.5	1.0	1.0	2.0	9.0	18.0	30.41509433962264	2.0	2.0	2.0	2.0	522.0
2	0.04	0.4	57.0	1222.0	754702.0	57.0	15.0	14.0	0.0	12.0	0.0	1.0	1.0	3.0	0.0	16.0	0.0	4.923076923076923	1.0	1.0	4.0	6.0	18.0	35.98245614035088	2.0	2.0	2.0	2.0	522.0
2	0.04	0.41	82.0	1161.0	704679.0	82.0	32.0	14.0	5.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	7.0	6.769230769230769	1.0	1.0	4.0	9.0	29.0	29.585365853658537	1.0	2.0	2.0	3.0	742.0
2	0.04	0.42	83.0	1162.0	704743.0	83.0	22.0	14.0	0.0	12.0	8.0	1.0	0.0	3.0	0.0	16.0	3.0	6.615384615384615	1.0	3.0	4.0	9.0	30.0	28.650602409638555	1.0	2.0	2.0	3.0	674.0
2	0.04	0.43	110.0	1149.0	694975.0	110.0	28.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	3.0	6.666666666666667	1.0	1.0	2.0	8.5	48.0	21.345454545454544	1.0	2.0	3.0	4.0	646.0
2	0.04	0.44	115.0	1148.0	696145.0	115.0	29.0	14.0	0.0	12.0	3.0	1.0	0.0	3.0	0.0	16.0	3.0	6.777777777777778	1.0	1.0	1.5	3.0	48.0	20.765217391304347	1.0	2.0	3.0	4.0	646.0
2	0.04	0.45	118.0	1210.0	735179.0	118.0	39.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	8.0	6.722222222222222	1.0	1.0	1.0	6.75	49.0	18.39830508474576	1.0	2.0	3.0	4.0	611.0
2	0.04	0.46	136.0	1171.0	703402.0	136.0	42.0	14.0	7.0	12.0	7.0	1.0	0.0	3.0	0.0	16.0	5.0	5.8	1.0	1.0	1.0	4.0	57.0	18.852941176470587	1.0	2.0	3.0	4.25	576.0
2	0.04	0.47	154.0	1177.0	697905.0	154.0	31.0	14.0	5.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	8.0	5.862068965517241	1.0	1.0	1.0	6.0	69.0	14.415584415584416	1.0	2.0	3.0	5.0	589.0
2	0.04	0.48	180.0	1160.0	675873.0	180.0	45.0	14.0	5.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	2.0	6.133333333333334	1.0	1.0	1.0	2.75	87.0	13.466666666666667	1.0	2.0	4.0	7.0	693.0
2	0.04	0.49	187.0	1173.0	688377.0	187.0	54.0	14.0	5.0	12.0	8.0	1.0	0.0	3.0	0.0	16.0	8.0	4.7560975609756095	1.0	1.0	1.0	2.0	86.0	13.149732620320856	1.0	2.0	4.0	8.0	580.0
4	0.01	0.3	26.0	1638.0	1347550.0	26.0	23.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	9.0	1.5	1.0	1.0	1.0	2.0	4.0	99.04	7.0	15.0	42.0	100.0	798.0
4	0.01	0.31	24.0	1647.0	1358022.0	24.0	24.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	9.0	1.6	1.0	1.0	1.0	2.0	4.0	103.30434782608695	7.0	15.0	49.0	108.5	798.0
4	0.01	0.32	21.0	1663.0	1383041.0	21.0	26.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	5.0	1.6153846153846154	1.0	1.0	1.0	2.0	4.0	123.15	8.0	38.25	64.0	153.25	798.0
4	0.01	0.33	21.0	1663.0	1383041.0	21.0	26.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	5.0	1.6153846153846154	1.0	1.0	1.0	2.0	4.0	123.15	8.0	38.25	64.0	153.25	798.0
4	0.01	0.34	252.0	1623.0	1318120.0	252.0	31.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	8.0	5.977777777777778	1.0	1.0	3.0	7.0	37.0	11.900398406374501	1.0	2.0	2.0	2.0	402.0
4	0.01	0.35	259.0	1590.0	1276247.0	259.0	31.0	14.0	0.0	12.0	9.0	1.0	0.0	3.0	0.0	16.0	6.0	5.54	1.0	2.0	4.0	6.0	36.0	12.643410852713178	1.0	2.0	2.0	2.0	402.0
4	0.01	0.36	261.0	1589.0	1274659.0	261.0	31.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	6.0	5.470588235294118	1.0	1.5	4.0	6.0	37.0	13.173076923076923	1.0	2.0	2.0	2.0	402.0
4	0.01	0.37	260.0	1587.0	1270696.0	260.0	37.0	14.0	0.0	12.0	8.0	1.0	0.0	3.0	0.0	16.0	11.0	5.795918367346939	1.0	2.0	4.0	9.0	37.0	13.03875968992248	1.0	2.0	2.0	2.0	384.0
4	0.01	0.38	265.0	1607.0	1295834.0	265.0	34.0	14.0	0.0	12.0	7.0	1.0	0.0	3.0	0.0	16.0	11.0	5.296296296296297	1.0	2.0	3.0	6.75	37.0	12.711026615969581	1.0	2.0	2.0	2.0	415.0
